title,book_url,book_rate,author_info,pub_info,out_year,book_price,book_cover,people_num
浪潮之巅,https://book.douban.com/subject/6709783/?from=tag_all,9.0,['吴军 '], 电子工业出版社 , 2011-8 , 55.00元,https://img3.doubanio.com/view/subject/l/public/s6807265.jpg,23726
时间的秩序,https://book.douban.com/subject/33424487/?from=tag_all,9.1,"['[意]卡洛·罗韦利 ', ' 杨光 ']", 博集天卷 | 湖南科学技术出版社 , 2019-6 , 56,https://img3.doubanio.com/view/subject/l/public/s32332471.jpg,3095
追捕祝融星,https://book.douban.com/subject/34809817/?from=tag_all,9.1,"['[美] 托马斯·利文森 ', ' 高爽 ']", 后浪丨民主与建设出版社 , 2019-10 , 52.00元,https://img3.doubanio.com/view/subject/l/public/s33477522.jpg,39
从一到无穷大,https://book.douban.com/subject/34782541/?from=tag_all,8.9,['[美] 乔治·伽莫夫 '], 阳曦 , 天津人民出版社 , 2019-9,https://img1.doubanio.com/view/subject/l/public/s33462079.jpg,222
极简宇宙史,https://book.douban.com/subject/26697350/?from=tag_all,9.1,"['[法] 克里斯托弗·加尔法德 ', ' 童文煦 ']", 上海三联书店 , 2016-3 , 49.50元,https://img3.doubanio.com/view/subject/l/public/s28453934.jpg,5909
永久记录,https://book.douban.com/subject/34862375/?from=tag_all,5.8,"['[美] 爱德华·斯诺登(Edward Snowden) ', ' 萧美惠 ', ' 郑胜得 ']", 民主与建设出版社 , 2019-11 , 68.00元,https://img3.doubanio.com/view/subject/l/public/s33514115.jpg,508
坏血,https://book.douban.com/subject/30473907/?from=tag_all,8.2,"['[美]约翰·卡雷鲁（John Carreyrou） ', ' 成起宏 ', ' 雅众文化']",北京联合出版公司 , 2019-4 , 49.80,https://img3.doubanio.com/view/subject/l/public/s32288675.jpg,3165
迷人的液体,https://book.douban.com/subject/34825764/?from=tag_all,8.2,"['【英】马克•米奥多尼克 ', ' 孙亚飞 ']", 天津科学技术出版社 , 2019-10 , 68元,https://img3.doubanio.com/view/subject/l/public/s33490323.jpg,82
从0到1,https://book.douban.com/subject/26297606/?from=tag_all,7.5,"['彼得·蒂尔 ', ' 布莱克·马斯特斯 ', ' 高玉芳 ']", 中信出版股份有限公司 , 2015-1-1 , CNY 45.00,https://img3.doubanio.com/view/subject/l/public/s28299265.jpg,22442
结构是什么,https://book.douban.com/subject/34778204/?from=tag_all,8.8,"['[英]J.E.戈登（J.E.Gordon） ', ' 李轻舟 ', ' 审校：刘新宇 ']", 中信出版社·鹦鹉螺 , 2019-8-1 , 59,https://img3.doubanio.com/view/subject/l/public/s33445271.jpg,57
生命与新物理学,https://book.douban.com/subject/33590444/?from=tag_all,9.0,"['[英] 保罗·戴维斯（Paul Davies） ', ' 王培 ']", 中信出版社 , 2019-8-15 , 59,https://img3.doubanio.com/view/subject/l/public/s33438492.jpg,29
重新定义公司,https://book.douban.com/subject/26582822/?from=tag_all,8.2,"['[美]埃里克·施密特 ', ' 靳婷婷 ', ' 陈序 ', ' 何晔 ']", 中信出版社 , 2015-8 , 49.00,https://img3.doubanio.com/view/subject/l/public/s28278604.jpg,5876
生命3.0,https://book.douban.com/subject/30262617/?from=tag_all,8.3,"['[美] 迈克斯·泰格马克 ', ' 汪婕舒 ']", 浙江教育出版社 , 2018-6 , 99.90元,https://img3.doubanio.com/view/subject/l/public/s29983520.jpg,1241
迷人的材料,https://book.douban.com/subject/26593084/?from=tag_all,8.3,"['马克·米奥多尼克 ', ' 赖盈满 ']", 未读·探索家·北京联合出版公司 , 2015-9 , 49.80元,https://img3.doubanio.com/view/subject/l/public/s29543894.jpg,3170
微服务架构设计模式,https://book.douban.com/subject/33425123/?from=tag_all,9.2,"['[美]\u3000克里斯?理查森（Chris Richardson） ', ' 喻勇\u3000译 ']", 机械工业出版社 , 2019-5 , 139元,https://img1.doubanio.com/view/subject/l/public/s32303297.jpg,100
